year,city,country,avg_temp,10_year_avg_temp
1820,Tianjin,China,10.18,
1821,Tianjin,China,11.51,
1822,Tianjin,China,11.5,
1823,Tianjin,China,10.96,
1824,Tianjin,China,11.96,
1825,Tianjin,China,11.73,
1826,Tianjin,China,11.65,
1827,Tianjin,China,12.2,
1828,Tianjin,China,11.42,
1829,Tianjin,China,11.26,11.437
1830,Tianjin,China,11.81,11.6
1831,Tianjin,China,10.57,11.506
1832,Tianjin,China,10.69,11.425
1833,Tianjin,China,11.14,11.443
1834,Tianjin,China,11.52,11.399
1835,Tianjin,China,10.79,11.305
1836,Tianjin,China,11.17,11.257
1837,Tianjin,China,10.93,11.13
1838,Tianjin,China,,11.09777778
1839,Tianjin,China,10.63,11.02777778
1840,Tianjin,China,11.29,10.97
1841,Tianjin,China,10.15,10.92333333
1842,Tianjin,China,11.31,10.99222222
1843,Tianjin,China,11.45,11.02666667
1844,Tianjin,China,11.57,11.03222222
1845,Tianjin,China,11.43,11.10333333
1846,Tianjin,China,11.95,11.19
1847,Tianjin,China,11.88,11.29555556
1848,Tianjin,China,11.56,11.322
1849,Tianjin,China,11.53,11.412
1850,Tianjin,China,10.68,11.351
1851,Tianjin,China,10.44,11.38
1852,Tianjin,China,10.65,11.314
1853,Tianjin,China,10.95,11.264
1854,Tianjin,China,11.6,11.267
1855,Tianjin,China,11.82,11.306
1856,Tianjin,China,11.42,11.253
1857,Tianjin,China,11.3,11.195
1858,Tianjin,China,11.66,11.205
1859,Tianjin,China,11.8,11.232
1860,Tianjin,China,10.4,11.204
1861,Tianjin,China,10.81,11.241
1862,Tianjin,China,10.62,11.238
1863,Tianjin,China,11.81,11.324
1864,Tianjin,China,10.97,11.261
1865,Tianjin,China,11.3,11.209
1866,Tianjin,China,11.56,11.223
1867,Tianjin,China,12.01,11.294
1868,Tianjin,China,11.66,11.294
1869,Tianjin,China,12.12,11.326
1870,Tianjin,China,11.42,11.428
1871,Tianjin,China,11.55,11.502
1872,Tianjin,China,11.39,11.579
1873,Tianjin,China,11.76,11.574
1874,Tianjin,China,11.82,11.659
1875,Tianjin,China,11.78,11.707
1876,Tianjin,China,12.28,11.779
1877,Tianjin,China,11.27,11.705
1878,Tianjin,China,11.38,11.677
1879,Tianjin,China,11.53,11.618
1880,Tianjin,China,11.14,11.59
